feature_set,n_features,MAE,RMSE,R2
transcript_only,113,8.177394429234663,10.263363233809756,0.42263570404225204
thpt_exam_only,7,7.326103781377518,9.241391758628767,0.5318928366050277
combined,120,6.914820529648435,8.68287638729684,0.5867643688063439
