grp,n,MAE,bias_mean_err,RMSE,mean_actual,mean_pred
KV1,2128,8.077,-0.359,10.103,73.906,74.266
KV2,2758,8.346,-0.158,10.473,77.919,78.076
KV2_NT,4477,8.202,-0.018,10.304,77.834,77.852
KV3,2014,8.008,0.054,10.039,77.048,76.994
