grp,n,MAE,MAE_ci95,bias,bias_ci95
KV1,10641,8.144,0.118,-1.176,0.193
KV2,13911,8.28,0.104,0.228,0.173
KV2_NT,22492,8.296,0.083,0.616,0.136
KV3,9838,7.955,0.119,-0.542,0.197
