subject,importance
Toán,0.7866809604731347
Ngoại ngữ,0.28270876270722634
Hóa học,0.22128417704669873
Tổng kết (GPA),0.21040747382752478
Nhân khẩu,0.16963366267877228
Văn,0.16220152299018728
Vật lí,0.15938275006612165
Sinh học,0.11084659621500954
Lịch sử,0.10078751589260015
Địa lí,0.07880033929402615
GDCD,0.07663419492883924
Học lực,0.01572513817648016
Hạnh kiểm,-0.0012877565122252574
