grp,n,MAE,MAE_ci95,bias,bias_ci95
KV1,10641,8.094,0.116,-0.136,0.193
KV2,13911,8.215,0.104,0.067,0.172
KV2_NT,22492,8.253,0.083,0.01,0.136
KV3,9838,7.861,0.119,-0.037,0.195
