model,MAE,MAE_sd,RMSE,RMSE_sd,R2,R2_sd
XGBoost,8.146238855998808,0.026262573548275922,10.247413197905123,0.04550181035994132,0.43150069731142143,0.009206835058165825
LightGBM,8.155063086499561,0.025551553271740062,10.253999238990266,0.03884239568711412,0.43075913731127324,0.00967678949212824
HistGBM,8.259294139814905,0.025593232711176465,10.38223543644521,0.04974797139189479,0.41645087401089526,0.009081946522531793
RandomForest,8.29636291537026,0.025974563789939793,10.431455557633518,0.041712940379167805,0.41091279792474855,0.008336537614109163
Ridge,8.56416420541984,0.024886696140375395,10.758639838424386,0.04351234776117614,0.37337776840247494,0.009038161855722955
