model,best_params,CV_MAE,CV_RMSE,CV_R2,CV_R2_sd,holdout_MAE,holdout_RMSE,holdout_R2
XGBoost_tuned,"{'subsample': 0.8, 'reg_lambda': 0.0, 'n_estimators': 800, 'min_child_weight': 100, 'max_depth': 6, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",8.1356,10.2313,0.4333,0.0096,8.152,10.2427,0.425
LightGBM_tuned,"{'subsample': 0.8, 'reg_lambda': 0.0, 'num_leaves': 127, 'n_estimators': 800, 'min_child_samples': 50, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",8.1293,10.2209,0.4344,0.0095,8.1476,10.2224,0.4272
